symbol,n,total_pnl,avg_pnl,win_rate
RVNL,20,2.418200408998058,0.12091002044990291,30.0
BHARTIHEXA,22,2.3960086885692755,0.10890948584405798,31.818181818181817
MSUMI,7,2.339196482110752,0.3341709260158217,42.857142857142854
NAVA,41,2.3285519673052826,0.05679395042208006,29.268292682926827
INDIACEM,21,2.2388321455094067,0.10661105454806699,33.33333333333333
KAYNES,66,2.2367305933746255,0.03388985747537311,27.27272727272727
BLUEJET,38,2.2215331638713174,0.058461399049245195,28.947368421052634
SPLPETRO,40,2.125209586744469,0.053130239668611724,27.500000000000004
RAILTEL,20,2.093812584638351,0.10469062923191755,35.0
KIMS,16,2.0746567989457465,0.12966604993410916,31.25
NH,9,2.074484277340633,0.23049825303784813,44.44444444444444
LINDEINDIA,12,2.000000000000055,0.16666666666667126,33.33333333333333
ABFRL,8,2.0000000000000284,0.25000000000000355,37.5
CUB,4,2.0000000000000266,0.5000000000000067,50.0
SONACOMS,4,2.0000000000000226,0.5000000000000057,50.0
NTPCGREEN,12,2.0000000000000218,0.1666666666666685,33.33333333333333
VEDL,4,2.000000000000014,0.5000000000000036,50.0
ITCHOTELS,4,2.000000000000014,0.5000000000000036,50.0
RKFORGE,8,1.9999999999999902,0.24999999999999878,37.5
OFSS,8,1.9999999999999853,0.24999999999999817,37.5
CRAFTSMAN,23,1.9348742175989981,0.08412496598256514,34.78260869565217
PINELABS,21,1.9180215876486575,0.09133436131660273,28.57142857142857
TMCV,3,1.9138576779026208,0.6379525593008736,66.66666666666666
ABREL,21,1.904967332164807,0.09071273010308605,33.33333333333333
JINDALSTEL,3,1.8246773685867217,0.6082257895289073,66.66666666666666
PIIND,3,1.780234070221044,0.593411356740348,66.66666666666666
CASTROLIND,7,1.7016670813635437,0.2430952973376491,42.857142857142854
UBL,3,1.6850259758172061,0.561675325272402,66.66666666666666
CARBORUNIV,10,1.618497697812032,0.1618497697812032,40.0
BLUEDART,14,1.5772911516381936,0.1126636536884424,35.714285714285715
ATUL,5,1.5008917617652253,0.3001783523530451,60.0
CHOLAHLDNG,13,1.5000000000000884,0.11538461538462218,30.76923076923077
ABSLAMC,10,1.5000000000000715,0.15000000000000716,30.0
AEGISVOPAK,18,1.5000000000000324,0.08333333333333513,27.77777777777778
AMBUJACEM,5,1.5000000000000306,0.30000000000000615,40.0
IOB,5,1.5000000000000282,0.30000000000000565,40.0
PRESTIGE,5,1.500000000000008,0.3000000000000016,40.0
NATCOPHARM,5,1.5000000000000062,0.30000000000000127,40.0
BHARATFORG,9,1.4999999999999987,0.16666666666666652,33.33333333333333
SBIN,1,1.4999999999999953,1.4999999999999953,100.0
CHAMBLFERT,1,1.4999999999999947,1.4999999999999947,100.0
HDFCLIFE,1,1.4999999999999925,1.4999999999999925,100.0
PVRINOX,1,1.4999999999999891,1.4999999999999891,100.0
RBLBANK,1,1.4999999999999885,1.4999999999999885,100.0
NESTLEIND,1,1.4999999999999876,1.4999999999999876,100.0
CYIENT,5,1.4999999999999793,0.2999999999999959,40.0
PERSISTENT,2,1.4448219154368775,0.7224109577184388,50.0
BATAINDIA,6,1.4163979457781293,0.23606632429635488,33.33333333333333
